Weather_Condition_Group,Accident_Count,Average_Severity,Severity_3_4_Percentage,Percentage_of_All_Records
Light Snow Shower / Windy,5,2.0,0.0,1.0E-4
Low Drifting Snow,5,2.6,60.0,1.0E-4
Heavy Blowing Snow,4,2.75,75.0,1.0E-4
Heavy Ice Pellets,4,2.75,75.0,1.0E-4
Light Fog,4,3.0,100.0,1.0E-4
Sand / Dust Whirlwinds / Windy,4,2.0,0.0,1.0E-4
Sleet and Thunder,4,2.0,0.0,1.0E-4
Duststorm,3,2.3333,33.3333,0.0
Heavy Rain Shower,3,2.3333,33.3333,0.0
Light Blowing Snow,3,3.6667,100.0,0.0
Light Hail,3,2.3333,33.3333,0.0
Light Thunderstorm,3,2.3333,33.3333,0.0
Rain Shower / Windy,3,2.0,0.0,0.0
Thunderstorms and Snow,3,2.3333,33.3333,0.0
Blowing Sand,2,2.5,50.0,0.0
Heavy Sleet and Thunder,2,2.0,0.0,0.0
Rain and Sleet,2,2.5,50.0,0.0
Snow Showers,2,2.5,50.0,0.0
Snow and Thunder / Windy,2,2.5,50.0,0.0
Thunder and Hail / Windy,2,2.5,50.0,0.0
Blowing Snow Nearby,1,2.0,0.0,0.0
Drifting Snow,1,2.0,0.0,0.0
Dust Whirls,1,2.0,0.0,0.0
Heavy Freezing Rain / Windy,1,3.0,100.0,0.0
Heavy Rain Shower / Windy,1,2.0,0.0,0.0
Heavy Sleet / Windy,1,2.0,0.0,0.0
Heavy Smoke,1,2.0,0.0,0.0
Partial Fog / Windy,1,3.0,100.0,0.0
Sand / Windy,1,2.0,0.0,0.0
